,Unnamed: 0_x,Country,Happiness Rank 2015,Happiness Score 2015,Happiness Rank 2016,Happiness Score 2016,Happiness Rank 2017,Happiness Score 2017,Unnamed: 0_y,2015_pop_w_depression,2016_pop_w_depression
0,0,Switzerland,1,7.5870000000000015,2,7.508999999999999,4,7.49399995803833,196,3.882478934,3.873036799
1,1,Iceland,2,7.561,3,7.501,3,7.50400018692017,92,3.583622455,3.582980737
2,2,Denmark,3,7.527,1,7.526,2,7.52199983596802,55,3.4323779830000003,3.432562985
3,3,Norway,4,7.522,4,7.497999999999998,1,7.537000179290769,150,4.043902558,4.080699518
4,4,Canada,5,7.427,6,7.404,7,7.31599998474121,34,3.978904352,3.998306653
5,5,Finland,6,7.4060000000000015,5,7.4129999999999985,5,7.468999862670901,71,5.220172769,5.193026391
6,6,Netherlands,7,7.377999999999999,7,7.338999999999999,6,7.3769998550415,140,4.3017355089999985,4.301588043
7,7,Sweden,8,7.364,10,7.291,9,7.28399991989136,195,4.974224532,4.966164519
8,8,New Zealand,9,7.286,8,7.334,8,7.31400012969971,141,4.768079932,4.766833692
9,9,Australia,10,7.284,9,7.313,10,7.28399991989136,11,4.97432208,4.949713878
10,10,Israel,11,7.278,11,7.267,11,7.212999820709231,98,4.2028889010000015,4.156169455
11,11,Costa Rica,12,7.226,14,7.0870000000000015,12,7.0789999961853,48,3.131422242,3.13226306
12,12,Austria,13,7.2,12,7.119,13,7.00600004196167,12,3.487288822,3.482647791
13,13,Mexico,14,7.187,21,6.778,25,6.57800006866455,129,3.04064426,3.045018814
14,14,United States,15,7.119,13,7.104,14,6.993000030517581,214,5.172861146,5.171768074
15,15,Brazil,16,6.983,17,6.952000000000001,22,6.63500022888184,27,3.75674741,3.724392621
16,16,Luxembourg,17,6.9460000000000015,20,6.871,18,6.86299991607666,118,3.818049558,3.817306631
17,17,Ireland,18,6.94,19,6.907,15,6.977000236511231,97,4.480199527,4.466725037
18,18,Belgium,19,6.937,18,6.9289999999999985,17,6.89099979400635,19,4.467854419,4.469739501
19,19,United Arab Emirates,20,6.901,28,6.573,21,6.6479997634887695,212,3.124907317,3.1280790260000004
20,20,United Kingdom,21,6.867000000000001,23,6.725,19,6.71400022506714,213,4.340124452,4.34329814
21,21,Venezuela,23,6.81,44,6.084,82,5.25,219,3.086506925,3.089227859
22,22,Singapore,24,6.797999999999999,22,6.739,26,6.57200002670288,177,3.712254508,3.707903938
23,23,Panama,25,6.7860000000000005,25,6.7010000000000005,30,6.4520001411438,155,2.96040399,2.966628934
24,24,Germany,26,6.75,16,6.994,16,6.9510002136230495,76,4.190483672,4.196881484
25,25,Chile,27,6.67,24,6.705,20,6.65199995040894,43,4.215995837,4.219770154
26,26,Qatar,28,6.6110000000000015,36,6.375,35,6.375,163,3.83569984,3.841265167
27,27,France,29,6.575,32,6.478,31,6.44199991226196,72,4.539564554,4.522544291
28,28,Argentina,30,6.574,26,6.65,24,6.59899997711182,8,3.833964008,3.839974683
29,29,Czech Republic,31,6.505,27,6.596,23,6.60900020599365,53,2.9794359860000004,2.972563862
30,30,Uruguay,32,6.485,29,6.545,28,6.4539999961853,216,3.84475305,3.85913126
31,31,Colombia,33,6.477,31,6.481,36,6.35699987411499,45,2.387174065,2.3782410030000003
32,32,Thailand,34,6.455,33,6.474,32,6.423999786376951,201,3.386640283,3.3828115380000003
33,33,Saudi Arabia,35,6.4110000000000005,34,6.379,37,6.343999862670901,171,3.662318355,3.674352665
34,34,Spain,36,6.329,37,6.3610000000000015,34,6.40299987792969,189,3.780057909,3.792970208
35,35,Malta,37,6.3020000000000005,30,6.488,27,6.52699995040894,125,3.582531875,3.592297762
36,36,Kuwait,39,6.295,41,6.239,39,6.10500001907349,106,3.891101663,3.906396644
37,37,Trinidad and Tobago,41,6.167999999999998,43,6.167999999999998,38,6.1680002212524405,205,3.925598942,3.926058901
38,38,El Salvador,42,6.13,46,6.068,45,6.0029997825622585,64,3.320549551,3.318673395
39,39,Guatemala,43,6.122999999999998,39,6.324,29,6.4539999961853,82,3.543634289,3.523788663
40,40,Uzbekistan,44,6.002999999999999,49,5.987,47,5.97100019454956,217,3.18075881,3.176225115
41,41,Slovakia,45,5.995,45,6.0779999999999985,40,6.09800004959106,178,2.652458941,2.647706513
42,42,Japan,46,5.987,53,5.921,51,5.92000007629395,101,3.581177718,3.619521443
43,43,South Korea,47,5.984,57,5.835,55,5.837999820709231,184,3.9959748,4.003349716000002
44,44,Ecuador,48,5.975,51,5.976,44,6.00799989700317,62,3.266782042,3.275092991
45,45,Bahrain,49,5.96,42,6.218,41,6.08699989318848,15,4.168839539,4.159016171
46,46,Italy,50,5.948,50,5.977,48,5.96400022506714,99,3.852923987,3.847503233
47,47,Bolivia,51,5.89,59,5.822,58,5.82299995422363,24,3.459532075,3.455685993
48,48,Moldova,52,5.8889999999999985,55,5.897,56,5.837999820709231,132,3.803913496,3.803218251
49,49,Paraguay,53,5.877999999999999,70,5.5379999999999985,70,5.493000030517581,157,3.329557184,3.337949632
50,50,Kazakhstan,54,5.855,54,5.919,60,5.8189997673034695,103,3.805285593,3.806592726
51,51,Slovenia,55,5.848,63,5.768,62,5.75799989700317,179,3.215982476,3.201502029
52,52,Lithuania,56,5.832999999999998,60,5.813,52,5.90199995040894,115,4.548278456,4.531693856
53,53,Nicaragua,57,5.8279999999999985,48,5.992000000000001,43,6.07100009918213,142,3.153214509,3.151607757
54,54,Peru,58,5.824,64,5.7429999999999986,63,5.71500015258789,158,2.542249613,2.545435818
55,55,Belarus,59,5.813,61,5.8020000000000005,67,5.5689997673034695,18,4.406787012,4.396416992
56,56,Poland,60,5.791,57,5.835,46,5.97300004959106,160,2.487605626,2.482461813
57,57,Malaysia,61,5.77,47,6.005,42,6.08400011062622,122,3.730788806,3.7546299
58,58,Croatia,62,5.759,74,5.488,77,5.2930002212524405,50,3.081128938,3.081515548
59,59,Libya,63,5.754,67,5.615,68,5.525000095367429,114,4.11159049,4.122704839
60,60,Russia,64,5.716,56,5.856,49,5.962999820709231,165,4.055917676,4.063449065
61,61,Jamaica,65,5.709,73,5.51,76,5.31099987030029,100,3.108924117,3.116690144
62,63,Cyprus,67,5.689,69,5.546,65,5.62099981307983,52,3.563410344,3.568675882
63,64,Algeria,68,5.605,38,6.355,53,5.8720002174377415,2,3.934957272,3.946200241
64,66,Turkmenistan,70,5.547999999999999,65,5.658,59,5.82200002670288,209,3.134235419,3.134171695
65,67,Mauritius,71,5.477,66,5.648,64,5.62900018692017,128,3.766787627,3.759575283
66,68,Estonia,73,5.4289999999999985,72,5.517,66,5.61100006103516,68,4.262694318,4.23893904
67,69,Indonesia,74,5.399,79,5.314,81,5.26200008392334,94,2.903177304,2.910983659
68,70,Vietnam,75,5.36,96,5.061,94,5.07399988174438,220,3.2215075580000003,3.223907347
69,71,Turkey,76,5.332000000000002,78,5.3889999999999985,69,5.5,208,3.904512696,3.888137929
70,72,Kyrgyzstan,77,5.2860000000000005,85,5.185,98,5.0040001869201705,107,3.367275546,3.364046923
71,73,Nigeria,78,5.268,103,4.875,95,5.07399988174438,144,4.445872727,4.400742752
72,74,Bhutan,79,5.252999999999999,84,5.1960000000000015,97,5.01100015640259,23,3.719202529,3.720666011
73,75,Azerbaijan,80,5.2120000000000015,81,5.291,85,5.2340002059936515,13,2.8483352710000003,2.8544460110000003
74,76,Pakistan,81,5.194,92,5.1320000000000014,80,5.26900005340576,153,3.701783082,3.699707609
75,77,Jordan,82,5.192,80,5.303,74,5.33599996566772,102,3.891638369,3.896164571
76,78,Montenegro,82,5.192,88,5.1610000000000005,83,5.23699998855591,134,2.829260933,2.825333581
77,79,China,84,5.14,83,5.245,79,5.2729997634887695,44,3.711781756,3.680338878
78,80,Zambia,85,5.129,106,4.795,116,4.513999938964839,226,4.136418962,4.163807103
79,81,Romania,86,5.124,71,5.528,57,5.824999809265139,164,2.62737752,2.633073298
80,82,Serbia,87,5.122999999999998,86,5.1770000000000005,73,5.39499998092651,174,2.864575738,2.858274295
81,83,Portugal,88,5.102,94,5.122999999999998,89,5.19500017166138,161,5.039881347,5.015622274
82,84,Latvia,89,5.098,68,5.56,54,5.849999904632571,110,3.86568124,3.868747351
83,85,Philippines,90,5.073,82,5.279,72,5.42999982833862,159,2.990189307,2.9968818410000004
84,86,Morocco,92,5.013,90,5.151,84,5.2350001335144,135,5.9178248710000005,5.872499593
85,87,Macedonia,93,5.007,95,5.121,92,5.1750001907348615,119,2.600153126,2.600233075
86,88,Albania,95,4.959,109,4.655,109,4.64400005340576,1,2.450237141,2.45088332
87,89,Bosnia and Herzegovina,96,4.949,87,5.1629999999999985,90,5.18200016021729,25,2.5718010280000003,2.564634453
88,90,Dominican Republic,98,4.885,89,5.155,86,5.230000019073491,58,3.437328475,3.422907044
89,91,Mongolia,100,4.874,101,4.907,100,4.95499992370605,133,3.87991741,3.871972147
90,92,Greece,102,4.857,99,5.033,87,5.227000236511231,78,4.494493732,4.466287714
91,93,Lebanon,103,4.839,93,5.129,88,5.22499990463257,111,4.0267185639999985,4.0082713939999985
92,94,Hungary,104,4.8,91,5.145,75,5.32399988174438,91,3.052293001,3.052208443
93,95,Honduras,105,4.788,104,4.871,91,5.1810002326965305,90,3.0319705160000003,3.032559955
94,96,Tajikistan,106,4.7860000000000005,100,4.996,96,5.04099988937378,199,2.835422692,2.846062617
95,97,Tunisia,107,4.739,98,5.045,102,4.80499982833862,207,4.210109088,4.211187684
96,99,Bangladesh,109,4.694,110,4.643,110,4.60799980163574,16,4.471408845,4.439594552
97,100,Iran,110,4.686,105,4.813,108,4.69199991226196,95,5.605229885,5.69492787
98,101,Ukraine,111,4.681,123,4.324,132,4.09600019454956,211,4.531604667,4.515833647
99,102,Iraq,112,4.677,112,4.575,117,4.49700021743774,96,4.09277233,4.133472283
100,103,South Africa,113,4.642,116,4.459,101,4.8289999961853,182,4.149282203,4.155648032
101,104,Ghana,114,4.633,124,4.276,131,4.11999988555908,77,3.921260726,3.917623505
102,105,Zimbabwe,115,4.61,131,4.1930000000000005,138,3.875,227,3.581816445,3.5996299689999995
103,106,Liberia,116,4.5710000000000015,150,3.622,148,3.532999992370609,113,4.45473276,4.452348655
104,107,India,117,4.565,118,4.404,122,4.31500005722046,93,3.85180156,3.853959979
105,108,Sudan,118,4.55,133,4.1389999999999985,130,4.138999938964839,192,4.099489584,4.102928688
106,109,Haiti,119,4.518,136,4.0280000000000005,145,3.6029999256134,86,3.5917576,3.590152213
107,111,Nepal,121,4.5139999999999985,107,4.793,99,4.961999893188481,139,4.018174969,3.986549685
108,112,Ethiopia,122,4.512,115,4.508,119,4.46000003814697,69,4.376726062,4.367895455
109,113,Sierra Leone,123,4.507,111,4.635,106,4.70900011062622,176,4.171346508,4.175993402
110,114,Mauritania,124,4.436,130,4.2010000000000005,123,4.29199981689453,127,3.535945723,3.548541707
111,115,Kenya,125,4.419,122,4.356,112,4.55299997329712,104,4.011586027,3.999605553
112,116,Armenia,127,4.35,121,4.36,121,4.37599992752075,9,3.057041649,3.0685474960000003
113,117,Botswana,128,4.332,137,3.974,142,3.7660000324249294,26,4.40818479,4.402208226
114,118,Myanmar,129,4.307,119,4.395,114,4.54500007629395,137,2.560995377,2.57208086
115,119,Georgia,130,4.297,126,4.252,125,4.28599977493286,75,3.068773769,3.068123222
116,120,Malawi,131,4.292,132,4.1560000000000015,136,3.97000002861023,121,3.864399667,3.883636584
117,121,Sri Lanka,132,4.271,117,4.415,120,4.44000005722046,190,3.640348995,3.64197402
118,122,Cameroon,133,4.252,114,4.513,107,4.69500017166138,33,4.3224516710000005,4.319252821
119,123,Bulgaria,134,4.218,129,4.217,105,4.71400022506714,29,2.79373779,2.794418139
120,124,Egypt,135,4.194,120,4.362,104,4.7350001335144,63,3.510428223,3.529188905
121,125,Yemen,136,4.077,147,3.724,146,3.59299993515015,225,4.353879758,4.350972912
122,126,Angola,137,4.033,141,3.866,140,3.79500007629395,6,4.71683156,4.715467221
123,127,Mali,138,3.995,135,4.073,127,4.19000005722046,124,3.474791744,3.4881425860000004
124,129,Uganda,141,3.931,145,3.739,133,4.08099985122681,210,5.661926762,5.616770412
125,130,Senegal,142,3.904,128,4.2189999999999985,115,4.53499984741211,173,3.920570528,3.93581816
126,131,Gabon,143,3.896,134,4.121,118,4.46500015258789,73,4.597468429,4.5919069630000005
127,132,Niger,144,3.845,142,3.856,135,4.02799987792969,143,3.957694983,3.961967302
128,133,Cambodia,145,3.819,140,3.907,129,4.1680002212524405,32,3.386149503,3.381689465
129,134,Tanzania,146,3.781,149,3.666,153,3.34899997711182,200,4.170757964,4.1769965560000015
130,135,Madagascar,147,3.681,148,3.695,144,3.64400005340576,120,4.228088127,4.228447592
131,136,Chad,149,3.667,144,3.763,137,3.9360001087188703,42,4.501233854,4.482221491000001
132,137,Guinea,150,3.656,151,3.607,149,3.50699996948242,83,4.067329684,4.067687746
133,139,Burkina Faso,152,3.587,145,3.739,134,4.03200006484985,30,4.198289346,4.213617555
134,140,Afghanistan,153,3.575,154,3.36,141,3.79399991035461,0,4.3990098060000005,4.404727497
135,141,Rwanda,154,3.465,152,3.515,151,3.47099995613098,166,4.47557605,4.473851398
136,142,Benin,155,3.34,153,3.484,143,3.65700006484985,21,4.165477143,4.16398222
137,143,Syria,156,3.006,156,3.069,152,3.46199989318848,197,3.857681252,3.874749503
138,144,Burundi,157,2.905,157,2.905,154,2.90499997138977,31,4.280013692,4.278357098
139,145,Togo,158,2.839,155,3.303,150,3.4949998855590803,203,4.186595668,4.19031343
