,Region,Country,Latitude,Longitude,Happiness Rank 2015,Happiness Score 2015,Happiness Rank 2016,Happiness Score 2016,Happiness Rank 2017,Happiness Score 2017
0,Western Europe,Switzerland,46.818188,8.227511999999999,1,7.587,2,7.509,4,7.494
1,Western Europe,Iceland,64.96305100000001,-19.020835,2,7.561,3,7.501,3,7.504
2,Western Europe,Denmark,56.26392,9.501785,3,7.527,1,7.526,2,7.522
3,Western Europe,Norway,60.472024,8.468946,4,7.522,4,7.498,1,7.537
4,North America,Canada,56.130366,-106.34677099999999,5,7.427,6,7.404,7,7.316
5,Western Europe,Finland,61.92411,25.748151,6,7.406,5,7.413,5,7.469
6,Western Europe,Netherlands,52.132633,5.291266,7,7.378,7,7.339,6,7.377
7,Western Europe,Sweden,60.128161,18.643501,8,7.364,10,7.291,9,7.284
8,Australia and New Zealand,New Zealand,-40.900557,174.88597099999998,9,7.286,8,7.334,8,7.314
9,Australia and New Zealand,Australia,-25.274398,133.775136,10,7.284,9,7.313,10,7.284
10,Middle East and Northern Africa,Israel,31.046051000000002,34.851612,11,7.278,11,7.267,11,7.213
11,Latin America and Caribbean,Costa Rica,9.748917,-83.753428,12,7.226,14,7.087,12,7.079
12,Western Europe,Austria,47.516231,14.550072,13,7.2,12,7.119,13,7.006
13,Latin America and Caribbean,Mexico,23.634501,-102.552784,14,7.187,21,6.778,25,6.578
14,North America,United States,37.09024,-95.712891,15,7.119,13,7.104,14,6.993
15,Latin America and Caribbean,Brazil,-14.235004,-51.92528,16,6.983,17,6.952,22,6.635
16,Western Europe,Luxembourg,49.815273,6.129583,17,6.946,20,6.871,18,6.863
17,Western Europe,Ireland,53.41291,-8.243889999999999,18,6.94,19,6.907,15,6.977
18,Western Europe,Belgium,50.503887,4.469936,19,6.937,18,6.929,17,6.891
19,Middle East and Northern Africa,United Arab Emirates,23.424076,53.847818000000004,20,6.901,28,6.573,21,6.648
20,Western Europe,United Kingdom,55.378051,-3.435973,21,6.867,23,6.725,19,6.714
21,Latin America and Caribbean,Venezuela,6.42375,-66.58973,23,6.81,44,6.084,82,5.25
22,Southeastern Asia,Singapore,1.352083,103.819836,24,6.798,22,6.739,26,6.572
23,Latin America and Caribbean,Panama,8.537981,-80.782127,25,6.786,25,6.701,30,6.452
24,Western Europe,Germany,51.165690999999995,10.451526,26,6.75,16,6.994,16,6.951
25,Latin America and Caribbean,Chile,-35.675146999999996,-71.542969,27,6.67,24,6.705,20,6.652
26,Middle East and Northern Africa,Qatar,25.354826,51.183884,28,6.611,36,6.375,35,6.375
27,Western Europe,France,46.227638,2.213749,29,6.575,32,6.478,31,6.442
28,Latin America and Caribbean,Argentina,-38.416097,-63.616671999999994,30,6.574,26,6.65,24,6.599
29,Central and Eastern Europe,Czech Republic,49.817492,15.472961999999999,31,6.505,27,6.596,23,6.609
30,Latin America and Caribbean,Uruguay,-32.522779,-55.765834999999996,32,6.485,29,6.545,28,6.454
31,Latin America and Caribbean,Colombia,4.570868,-74.297333,33,6.477,31,6.481,36,6.357
32,Southeastern Asia,Thailand,15.870032,100.992541,34,6.455,33,6.474,32,6.424
33,Middle East and Northern Africa,Saudi Arabia,23.885942,45.079162,35,6.411,34,6.379,37,6.344
34,Western Europe,Spain,40.463667,-3.7492199999999998,36,6.329,37,6.361,34,6.403
35,Western Europe,Malta,35.937496,14.375416,37,6.302,30,6.488,27,6.527
36,Middle East and Northern Africa,Kuwait,29.311659999999996,47.481766,39,6.295,41,6.239,39,6.105
37,Latin America and Caribbean,Trinidad and Tobago,10.691803,-61.222503,41,6.168,43,6.168,38,6.168
38,Latin America and Caribbean,El Salvador,13.794185,-88.89653,42,6.13,46,6.068,45,6.003
39,Latin America and Caribbean,Guatemala,15.783470999999999,-90.23075899999999,43,6.123,39,6.324,29,6.454
40,Central and Eastern Europe,Uzbekistan,41.377491,64.585262,44,6.003,49,5.987,47,5.971
41,Central and Eastern Europe,Slovakia,48.669026,19.699023999999998,45,5.995,45,6.078,40,6.098
42,Eastern Asia,Japan,36.204824,138.252924,46,5.987,53,5.921,51,5.92
43,Eastern Asia,South Korea,35.907757000000004,127.766922,47,5.984,57,5.835,55,5.838
44,Latin America and Caribbean,Ecuador,-1.8312389999999998,-78.183406,48,5.975,51,5.976,44,6.008
45,Middle East and Northern Africa,Bahrain,25.930414000000003,50.637772,49,5.96,42,6.218,41,6.087
46,Western Europe,Italy,41.87194,12.56738,50,5.948,50,5.977,48,5.964
47,Latin America and Caribbean,Bolivia,-16.290154,-63.588653,51,5.89,59,5.822,58,5.823
48,Central and Eastern Europe,Moldova,47.411631,28.369884999999996,52,5.889,55,5.897,56,5.838
49,Latin America and Caribbean,Paraguay,-23.442503,-58.44383199999999,53,5.878,70,5.538,70,5.493
50,Central and Eastern Europe,Kazakhstan,48.019573,66.923684,54,5.855,54,5.919,60,5.819
51,Central and Eastern Europe,Slovenia,46.151241,14.995463,55,5.848,63,5.768,62,5.758
52,Central and Eastern Europe,Lithuania,55.169438,23.881275,56,5.833,60,5.813,52,5.902
53,Latin America and Caribbean,Nicaragua,12.865416,-85.207229,57,5.828,48,5.992,43,6.071
54,Latin America and Caribbean,Peru,-9.189967,-75.015152,58,5.824,64,5.743,63,5.715
55,Central and Eastern Europe,Belarus,53.709807,27.953389,59,5.813,61,5.802,67,5.569
56,Central and Eastern Europe,Poland,51.919438,19.145135999999997,60,5.791,57,5.835,46,5.973
57,Southeastern Asia,Malaysia,4.210483999999999,101.97576600000001,61,5.77,47,6.005,42,6.084
58,Central and Eastern Europe,Croatia,45.1,15.2,62,5.759,74,5.488,77,5.293
59,Middle East and Northern Africa,Libya,26.3351,17.228331,63,5.754,67,5.615,68,5.525
60,Central and Eastern Europe,Russia,61.52401,105.31875600000001,64,5.716,56,5.856,49,5.963
61,Latin America and Caribbean,Jamaica,18.109581,-77.297508,65,5.709,73,5.51,76,5.311
62,Western Europe,Cyprus,35.126413,33.429859,67,5.689,69,5.546,65,5.621
63,Middle East and Northern Africa,Algeria,28.033886,1.6596259999999998,68,5.605,38,6.355,53,5.872
64,Central and Eastern Europe,Kosovo,42.602636,20.902977,69,5.589,77,5.401,78,5.279
65,Central and Eastern Europe,Turkmenistan,38.969719,59.556278000000006,70,5.548,65,5.658,59,5.822
66,Sub-Saharan Africa,Mauritius,-20.348404000000002,57.552152,71,5.477,66,5.648,64,5.629
67,Central and Eastern Europe,Estonia,58.595271999999994,25.013607,73,5.429,72,5.517,66,5.611
68,Southeastern Asia,Indonesia,-0.789275,113.921327,74,5.399,79,5.314,81,5.262
69,Southeastern Asia,Vietnam,14.058323999999999,108.277199,75,5.36,96,5.061,94,5.074
70,Middle East and Northern Africa,Turkey,38.963745,35.243322,76,5.332,78,5.389,69,5.5
71,Central and Eastern Europe,Kyrgyzstan,41.20438,74.766098,77,5.286,85,5.185,98,5.004
72,Sub-Saharan Africa,Nigeria,9.081999,8.675277000000001,78,5.268,103,4.875,95,5.074
73,Southern Asia,Bhutan,27.514162,90.433601,79,5.253,84,5.196,97,5.011
74,Central and Eastern Europe,Azerbaijan,40.143105,47.576927000000005,80,5.212,81,5.291,85,5.234
75,Southern Asia,Pakistan,30.375321000000003,69.345116,81,5.194,92,5.132,80,5.269
76,Middle East and Northern Africa,Jordan,30.585164000000002,36.238414,82,5.192,80,5.303,74,5.336
77,Central and Eastern Europe,Montenegro,42.708678000000006,19.37439,82,5.192,88,5.161,83,5.237
78,Eastern Asia,China,35.86166,104.195397,84,5.14,83,5.245,79,5.273
79,Sub-Saharan Africa,Zambia,-13.133897,27.849332,85,5.129,106,4.795,116,4.514
80,Central and Eastern Europe,Romania,45.943160999999996,24.96676,86,5.124,71,5.528,57,5.825
81,Central and Eastern Europe,Serbia,44.016521000000004,21.005859,87,5.123,86,5.177,73,5.395
82,Western Europe,Portugal,39.399871999999995,-8.224454,88,5.102,94,5.123,89,5.195
83,Central and Eastern Europe,Latvia,56.879635,24.603189,89,5.098,68,5.56,54,5.85
84,Southeastern Asia,Philippines,12.879721,121.77401699999999,90,5.073,82,5.279,72,5.43
85,Middle East and Northern Africa,Morocco,31.791702,-7.09262,92,5.013,90,5.151,84,5.235
86,Central and Eastern Europe,Albania,41.153332,20.168331,95,4.959,109,4.655,109,4.644
87,Central and Eastern Europe,Bosnia and Herzegovina,43.915886,17.679076000000002,96,4.949,87,5.163,90,5.182
88,Latin America and Caribbean,Dominican Republic,18.735692999999998,-70.162651,98,4.885,89,5.155,86,5.23
89,Eastern Asia,Mongolia,46.862496,103.84665600000001,100,4.874,101,4.907,100,4.955
90,Western Europe,Greece,39.074208,21.824312,102,4.857,99,5.033,87,5.227
91,Middle East and Northern Africa,Lebanon,33.854721000000005,35.862285,103,4.839,93,5.129,88,5.225
92,Central and Eastern Europe,Hungary,47.162494,19.503304,104,4.8,91,5.145,75,5.324
93,Latin America and Caribbean,Honduras,15.199998999999998,-86.241905,105,4.788,104,4.871,91,5.181
94,Central and Eastern Europe,Tajikistan,38.861034000000004,71.276093,106,4.786,100,4.996,96,5.041
95,Middle East and Northern Africa,Tunisia,33.886917,9.537499,107,4.739,98,5.045,102,4.805
96,Middle East and Northern Africa,Palestinian Territories,31.952162,35.233154,108,4.715,108,4.754,103,4.775
97,Southern Asia,Bangladesh,23.684994,90.35633100000001,109,4.694,110,4.643,110,4.608
98,Middle East and Northern Africa,Iran,32.427908,53.68804599999999,110,4.686,105,4.813,108,4.692
99,Central and Eastern Europe,Ukraine,48.379433,31.16558,111,4.681,123,4.324,132,4.096
100,Middle East and Northern Africa,Iraq,33.223191,43.679291,112,4.677,112,4.575,117,4.497
101,Sub-Saharan Africa,South Africa,-30.559482,22.937506,113,4.642,116,4.459,101,4.829
102,Sub-Saharan Africa,Ghana,7.946527000000001,-1.0231940000000002,114,4.633,124,4.276,131,4.12
103,Sub-Saharan Africa,Zimbabwe,-19.015438,29.154857,115,4.61,131,4.193,138,3.875
104,Sub-Saharan Africa,Liberia,6.4280550000000005,-9.429499,116,4.571,150,3.622,148,3.533
105,Southern Asia,India,20.593684,78.96288,117,4.565,118,4.404,122,4.315
106,Sub-Saharan Africa,Sudan,12.862807,30.217636,118,4.55,133,4.139,130,4.139
107,Latin America and Caribbean,Haiti,18.971187,-72.28521500000001,119,4.518,136,4.028,145,3.603
108,Southern Asia,Nepal,28.394857000000002,84.12400799999999,121,4.514,107,4.793,99,4.962
109,Sub-Saharan Africa,Ethiopia,9.145,40.489672999999996,122,4.512,115,4.508,119,4.46
110,Sub-Saharan Africa,Sierra Leone,8.460555000000001,-11.779889,123,4.507,111,4.635,106,4.709
111,Sub-Saharan Africa,Mauritania,21.00789,-10.940835,124,4.436,130,4.201,123,4.292
112,Sub-Saharan Africa,Kenya,-0.023559,37.906193,125,4.419,122,4.356,112,4.553
113,Central and Eastern Europe,Armenia,40.069099,45.038189,127,4.35,121,4.36,121,4.376
114,Sub-Saharan Africa,Botswana,-22.328474,24.684866,128,4.332,137,3.974,142,3.766
115,Central and Eastern Europe,Georgia,42.315407,43.356891999999995,130,4.297,126,4.252,125,4.286
116,Sub-Saharan Africa,Malawi,-13.254307999999998,34.301525,131,4.292,132,4.156,136,3.97
117,Southern Asia,Sri Lanka,7.873054,80.77179699999999,132,4.271,117,4.415,120,4.44
118,Sub-Saharan Africa,Cameroon,7.369722,12.354722,133,4.252,114,4.513,107,4.695
119,Central and Eastern Europe,Bulgaria,42.733883,25.48583,134,4.218,129,4.217,105,4.714
120,Middle East and Northern Africa,Egypt,26.820553000000004,30.802497999999996,135,4.194,120,4.362,104,4.735
121,Middle East and Northern Africa,Yemen,15.552726999999999,48.516388,136,4.077,147,3.724,146,3.593
122,Sub-Saharan Africa,Angola,-11.202691999999999,17.873887,137,4.033,141,3.866,140,3.795
123,Sub-Saharan Africa,Mali,17.570692,-3.9961660000000006,138,3.995,135,4.073,127,4.19
124,Sub-Saharan Africa,Uganda,1.373333,32.290275,141,3.931,145,3.739,133,4.081
125,Sub-Saharan Africa,Senegal,14.497401000000002,-14.452361999999999,142,3.904,128,4.219,115,4.535
126,Sub-Saharan Africa,Gabon,-0.803689,11.609444,143,3.896,134,4.121,118,4.465
127,Sub-Saharan Africa,Niger,17.607789,8.081666,144,3.845,142,3.856,135,4.028
128,Southeastern Asia,Cambodia,12.565679,104.990963,145,3.819,140,3.907,129,4.168
129,Sub-Saharan Africa,Tanzania,-6.369028,34.888822,146,3.781,149,3.666,153,3.349
130,Sub-Saharan Africa,Madagascar,-18.766947000000002,46.869107,147,3.681,148,3.695,144,3.644
131,Sub-Saharan Africa,Chad,15.454166,18.732207,149,3.667,144,3.763,137,3.936
132,Sub-Saharan Africa,Guinea,9.945587,-9.696645,150,3.656,151,3.607,149,3.507
133,Sub-Saharan Africa,Burkina Faso,12.238333,-1.561593,152,3.587,145,3.739,134,4.032
134,Southern Asia,Afghanistan,33.93911,67.709953,153,3.575,154,3.36,141,3.794
135,Sub-Saharan Africa,Rwanda,-1.940278,29.873888,154,3.465,152,3.515,151,3.471
136,Sub-Saharan Africa,Benin,9.30769,2.315834,155,3.34,153,3.484,143,3.657
137,Middle East and Northern Africa,Syria,34.802075,38.996815000000005,156,3.006,156,3.069,152,3.462
138,Sub-Saharan Africa,Burundi,-3.3730559999999996,29.918885999999997,157,2.905,157,2.905,154,2.905
139,Sub-Saharan Africa,Togo,8.619543,0.824782,158,2.839,155,3.303,150,3.495
